page	ts	digest	url	source	http	compression	bytes	cdx_len	repeat_ts_same_digest
faq_pt.html	20200905140955	FQSTRSEOGU4GJO3CMSOWEO6QBJ65M7JI	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12236	
faq_pt.html	20201103112037	RVDEWKZMNZOO4C5CCOLCSD2L6J2ODC2L	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	12725	
faq_pt.html	20201206162023	NZX27T5UEZC7AJ544EQAON7EKXPTJ2TH	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12408	
faq_pt.html	20210211001923	CDWOUPU3SVGPO3CJTXHUN5JTQTOB5UXR	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	11587	
faq_pt.html	20210212042822	SYBUYPHSKTRH5M5OECVTCZAKCULK6CHZ	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	11548	
faq_pt.html	20210226151012	WTREBYB7F3YFZF7427KJ46TRQIK7UFEZ	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	12720	
faq_pt.html	20210305084430	LQNTUGWHTESTE3QZCOLOHM5A3W373HKE	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12452	
faq_pt.html	20210414122414	EKUZ3NJJ2C6LTIUB74AJIXLIN436OVRD	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12536	
faq_pt.html	20210415172445	KVUECTZ77JGTSFBF5L26FDGJUHM4SML2	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12537	
faq_pt.html	20210421231600	L7PNDX33HC5JJWLYAUCRGSAVA5IKU7GI	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	11630	
faq_pt.html	20210422213726	HXHP6F272YQVLQPFCHHMAUUIMWTTJB6M	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	11585	
faq_pt.html	20210501224158	IXRUVD35S43HHGUJUZVLE2EN4Z2E3CSF	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	11646	
faq_pt.html	20210924153617	Z3H3TMFGF4SEH2EVNNR723IRAZLIELKP	https://www.moonsighting.com/faq_pt.html	disk	-	none	34463	12627	
faq_pt.html	20220209023623	TPE4W5BVB7IEHNLESCFKZTWMMCXVW36Z	https://moonsighting.com/faq_pt.html	fetched	200	none	34463	11532	
faq_pt.html	20220628032716	3VPOLIJJUY6WMERY4JBAOMZFBGNGJTDW	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12624	
faq_pt.html	20220706105156	U7HNTCIULKOV2RCO4F2CRDBNOSU5JRXZ	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34463	12989	
faq_pt.html	20220712212812	C4XVXKZ4PECWJHWN6PELT3D5MYTMOP2P	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	34463	12553	
faq_pt.html	20221209131110	NTQC3BEIJGOOGST4MNTFTDQP53QIF5PW	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34463	12572	
faq_pt.html	20230531085648	5IX3HJTO2O6EZYUZUOJYN44W3I7PEL4D	https://moonsighting.com/faq_pt.html	fetched	200	none	34703	11529	
faq_pt.html	20231003042747	V64HMAUEDK673CZJOLIJNJ2BSKPG4R67	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34703	12570	
faq_pt.html	20240213100838	52QFLJRSBNVMHWTPQFHB4HL5B2A2LJHG	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12942	
faq_pt.html	20240316164913	JSKSRSJHFWTZUGH2PZADLYSY63ZW37RE	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12933	
faq_pt.html	20240325154511	FB5DTKLSCLXHYK3QB2GWWDZGL3MJJGJF	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12726	
faq_pt.html	20240330054504	MBYJSOYUBXUWEIV45ODLEOS7MZ3K6BHS	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12937	
faq_pt.html	20240406055237	PH3RHX5I7P5POV7QIRLLIA3RCQV5SS4W	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12950	
faq_pt.html	20240416125438	ZGKRPXQRKNX4FEFTJTFBM4QWS3U56Y6C	https://moonsighting.com/faq_pt.html	fetched	200	none	34703	12587	
faq_pt.html	20240522150012	Z5VYO3I5LNJWZ2I6CPA4736NANPD2U2E	https://www.moonsighting.com/faq_pt.html	fetched	200	none	34703	12606	
faq_pt.html	20240622190445	MKYKPXHN3VF3HTAYXVQRH2HXZCKCUNR2	https://moonsighting.com/faq_pt.html	fetched	200	gzip	34703	12719	
faq_pt.html	20240909145323	C2L2S546WLPSDXNGNQXCVGDFYUEBIPMR	https://www.moonsighting.com/faq_pt.html	fetched	200	gzip	1421	1702	
